unit_id,unit_name,parent_code,parent_name,yyyymm,year,month,modis_ba_any_ba2012,viirs_det_primary,viirs_frp_mean_mw,modis_burnable_km2_union_ba2012,mismatch_y
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202103,2021,3,0.0,3.0,7.24,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202104,2021,4,0.0,1.0,4.27,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202111,2021,11,0.0,1.0,3.12,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202112,2021,12,0.0,1.0,1.63,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202201,2022,1,1.0,14.0,6.12,133.36936803124996,0
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202202,2022,2,1.0,6.0,4.151666666666666,133.36936803124996,0
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202203,2022,3,0.0,6.0,7.92,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202204,2022,4,0.0,3.0,4.316666666666666,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202301,2023,1,0.0,9.0,4.0,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202302,2023,2,0.0,12.0,4.731111111111111,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202303,2023,3,0.0,14.0,4.272857142857143,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202304,2023,4,0.0,3.0,3.73,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202401,2024,1,0.0,9.0,7.093999999999999,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202402,2024,2,0.0,5.0,2.908,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202403,2024,3,0.0,11.0,6.328,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202404,2024,4,0.0,1.0,1.54,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202408,2024,8,0.0,1.0,2.61,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202409,2024,9,0.0,1.0,2.31,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202411,2024,11,0.0,2.0,5.165,133.36936803124996,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202412,2024,12,0.0,1.0,1.77,133.36936803124996,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201202,2012,2,0.0,16.0,4.92,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201203,2012,3,0.0,17.0,5.4471428571428575,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201204,2012,4,0.0,3.0,4.165,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201205,2012,5,0.0,1.0,8.68,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201211,2012,11,0.0,1.0,3.24,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201301,2013,1,0.0,6.0,9.8875,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201302,2013,2,0.0,26.0,6.914,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201303,2013,3,0.0,40.0,8.427692307692308,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201304,2013,4,0.0,16.0,11.213333333333331,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201305,2013,5,0.0,3.0,3.563333333333333,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201308,2013,8,0.0,2.0,4.275,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201309,2013,9,0.0,2.0,7.08,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201311,2013,11,0.0,1.0,5.17,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201312,2013,12,0.0,1.0,4.98,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201402,2014,2,0.0,13.0,6.659999999999999,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201403,2014,3,0.0,36.0,8.215,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201404,2014,4,0.0,16.0,5.237500000000001,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201410,2014,10,0.0,1.0,3.05,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201501,2015,1,0.0,2.0,4.395,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201502,2015,2,0.0,8.0,7.132,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201503,2015,3,0.0,27.0,4.992222222222222,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201504,2015,4,0.0,10.0,4.8675,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201505,2015,5,0.0,3.0,4.233333333333333,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201508,2015,8,0.0,1.0,5.26,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201509,2015,9,0.0,2.0,4.61,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201512,2015,12,0.0,2.0,2.1100000000000003,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201601,2016,1,0.0,24.0,8.728181818181818,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201602,2016,2,0.0,55.0,7.025625,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201603,2016,3,0.0,34.0,6.066428571428572,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201604,2016,4,0.0,7.0,4.17,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201605,2016,5,0.0,1.0,5.06,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201609,2016,9,0.0,1.0,5.29,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201701,2017,1,0.0,5.0,4.625,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201702,2017,2,0.0,10.0,4.61,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201703,2017,3,0.0,27.0,5.458,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201704,2017,4,0.0,10.0,7.8575,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201708,2017,8,0.0,1.0,2.94,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201709,2017,9,0.0,3.0,4.565,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201801,2018,1,1.0,3.0,2.34,297.08765471875034,0
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201802,2018,2,0.0,20.0,12.318571428571428,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201803,2018,3,0.0,26.0,6.4363636363636365,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201804,2018,4,0.0,17.0,7.195,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201808,2018,8,0.0,2.0,2.59,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201812,2018,12,0.0,2.0,3.87,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201901,2019,1,0.0,3.0,3.43,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201902,2019,2,0.0,22.0,9.987142857142857,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201903,2019,3,1.0,42.0,7.156923076923078,297.08765471875034,0
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201904,2019,4,0.0,6.0,4.576666666666667,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201905,2019,5,0.0,1.0,12.07,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201908,2019,8,0.0,1.0,3.39,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201911,2019,11,0.0,2.0,3.535,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,201912,2019,12,0.0,1.0,5.68,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202001,2020,1,0.0,4.0,4.0200000000000005,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202002,2020,2,1.0,19.0,7.7,297.08765471875034,0
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202003,2020,3,0.0,52.0,9.139166666666666,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202004,2020,4,0.0,36.0,9.257272727272728,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202005,2020,5,0.0,5.0,5.797499999999999,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202008,2020,8,0.0,2.0,6.44,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202009,2020,9,0.0,3.0,4.82,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202010,2020,10,0.0,1.0,3.09,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202012,2020,12,0.0,2.0,6.73,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202101,2021,1,0.0,1.0,8.34,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202102,2021,2,0.0,2.0,12.7,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202103,2021,3,0.0,7.0,6.195,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202104,2021,4,0.0,6.0,4.415,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202105,2021,5,0.0,7.0,6.8225,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202108,2021,8,0.0,1.0,4.88,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202112,2021,12,0.0,5.0,3.795,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202201,2022,1,1.0,10.0,4.352,297.08765471875034,0
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202202,2022,2,0.0,17.0,5.8125,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202203,2022,3,0.0,9.0,7.513333333333333,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202204,2022,4,0.0,11.0,6.05,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202205,2022,5,0.0,4.0,7.123333333333332,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202209,2022,9,0.0,1.0,4.41,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202211,2022,11,0.0,1.0,1.89,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202212,2022,12,0.0,2.0,7.19,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202301,2023,1,0.0,9.0,5.472857142857143,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202302,2023,2,0.0,21.0,7.875,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202303,2023,3,0.0,31.0,9.681818181818182,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202304,2023,4,0.0,7.0,7.31,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202309,2023,9,0.0,1.0,5.48,297.08765471875034,1
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,202311,2023,11,0.0,1.0,2.68,297.08765471875034,1
