cluster,n,y1,y0,all_y1,all_y0
Nanumba_North,100,29,71,False,False
Nanumba_South,105,40,65,False,False
New_Juaben_North_Municipal,64,57,7,False,False
New_Juaben_South_Municipal,49,46,3,False,False
Ningo_Prampram,99,85,14,False,False
Nkoranza_North,136,83,53,False,False
Nkoranza_South,136,88,48,False,False
Nkwanta_North,107,47,60,False,False
Nkwanta_South_Municipal,116,58,58,False,False
North_Dayi,110,74,36,False,False
North_East_Gonja,108,34,74,False,False
North_Gonja,102,33,69,False,False
North_Tongu,109,64,45,False,False
Nsawam_Adoagyiri,88,81,7,False,False
Nzema_East,78,76,2,False,False
Obuasi_East,67,67,0,True,False
Obuasi_Municipal,76,75,1,False,False
Offinso_Municipal,96,71,25,False,False
Offinso_North,141,96,45,False,False
Oforikrom_Municipal,32,32,0,True,False
Okaikwei_North_Municipal,7,7,0,True,False
Okere,125,106,19,False,False
Prestea_Huni_Valley,123,119,4,False,False
Pru_East,98,39,59,False,False
Pru_West,108,53,55,False,False
Pusiga,10,10,0,True,False
Saboba,100,24,76,False,False
Sagnerigu,55,30,25,False,False
Savelugu,90,35,55,False,False
Sawla_Tuna_Kalba,96,36,60,False,False
Sefwi_Akontombra,83,80,3,False,False
Sefwi_Wiawso,106,103,3,False,False
Sekondi_Takoradi_Metropolis,57,56,1,False,False
Sekyere_Afram_Plains_North,143,83,60,False,False
Sekyere_Central,142,85,57,False,False
Sekyere_East,63,60,3,False,False
Sekyere_Kumawu,129,80,49,False,False
Sekyere_South,79,63,16,False,False
Sene_East,116,54,62,False,False
Sene_West,109,52,57,False,False
Shai_Osudoku,114,78,36,False,False
Shama,101,99,2,False,False
Sissala_East,105,39,66,False,False
Sissala_West,94,42,52,False,False
South_Dayi,111,80,31,False,False
South_Tongu,121,103,18,False,False
Suaman,61,61,0,True,False
Suame_Municipal,14,14,0,True,False
Suhum_Municipal,98,91,7,False,False
Sunyani_Municipal,100,94,6,False,False
Sunyani_West,144,100,44,False,False
Tain,147,89,58,False,False
Talensi,86,30,56,False,False
Tamale_Metropolitan,66,19,47,False,False
Tano_North_Municipal,114,93,21,False,False
Tano_South_Municipal,114,96,18,False,False
Tarkwa_Nsuaem,91,89,2,False,False
Tatale_Sanguli,105,37,68,False,False
Techiman_Municipal,129,107,22,False,False
Techiman_North,118,100,18,False,False
Tema_Metropolitan,57,57,0,True,False
Tema_West_Municipal,32,32,0,True,False
Tempane,41,38,3,False,False
Tolon,80,22,58,False,False
Twifo_Atti_Morkwa,76,74,2,False,False
Twifo_Hemang_Lower_Denkyira,85,84,1,False,False
Upper_Denkyira_East_Municipal,77,75,2,False,False
Upper_Denkyira_West,84,84,0,True,False
Upper_Manya,126,80,46,False,False
Upper_West_Akim,102,102,0,True,False
Wa_East,90,35,55,False,False
Wa_Municipal,60,30,30,False,False
Wa_West,73,38,35,False,False
Wassa_Amenfi_Central,96,95,1,False,False
Wassa_Amenfi_East,96,96,0,True,False
Wassa_Amenfi_West,84,83,1,False,False
Wassa_East,93,89,4,False,False
Weija_Gbawe_Municipal,72,71,1,False,False
Wenchi_Municipal,147,94,53,False,False
West_Akim,100,98,2,False,False
West_Gonja,96,35,61,False,False
West_Mamprusi_Municipal,98,36,62,False,False
Yendi_Municipal,96,23,73,False,False
Yilo_Krobo,132,98,34,False,False
Yunyoo_Nasuan,77,24,53,False,False
Zabzugu,101,39,62,False,False
