unit_id,unit_name,parent_code,parent_name,yyyymm,year,month,viirs_supported_flag,ba2012_supported_flag,viirs_det_primary,modis_ba_any_ba2012,observation_state,viirs_positive,mismatch_y
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201506,2015,6,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201507,2015,7,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201508,2015,8,1,1,2.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201509,2015,9,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201510,2015,10,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201511,2015,11,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201512,2015,12,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201601,2016,1,1,1,30.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201602,2016,2,1,1,16.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201603,2016,3,1,1,15.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201604,2016,4,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201605,2016,5,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201606,2016,6,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201607,2016,7,1,1,0.0,0.0,both_zero,0,
