level,expected_rows,actual_rows,unique_keys,duplicate_key_rows,yyyymm_min,yyyymm_max,column_count,passes_key_audit
acz,1440,1440,1440,0,200101,202412,111,True
district,74880,74880,74880,0,200101,202412,111,True
