parent_code,parent_name,unit_id,year,annual_rate,annual_ba_km2,fixed_burnable_km2,n,sen_slope,u_n,long_run_variance,variance_floor,variance_floor_used,t_n,realised_bandwidth,bandwidth_rule,permutation_count,seed,extreme_count,raw_p,bh_q,bh_rejected,bh_alpha,effect_method_id,method_id,implementation_id,empirical_cdf,studentisation,alternative,p_value_method
CZ,COASTAL ZONE,coastal_zone,2014,2.090840210517303,267.3779371406251,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
CZ,COASTAL ZONE,coastal_zone,2015,6.675341436632398,853.646784703128,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
CZ,COASTAL ZONE,coastal_zone,2016,3.4546662142283227,441.7848486093755,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
CZ,COASTAL ZONE,coastal_zone,2017,1.1064282389334155,141.49072637500004,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
CZ,COASTAL ZONE,coastal_zone,2018,2.4267804148843912,310.33817790624937,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
CZ,COASTAL ZONE,coastal_zone,2019,0.9543360424330791,122.04108237500009,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
CZ,COASTAL ZONE,coastal_zone,2020,8.211293757246798,1050.0653158593784,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
CZ,COASTAL ZONE,coastal_zone,2021,1.5309501125721727,195.77884570312438,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
CZ,COASTAL ZONE,coastal_zone,2022,5.2145754609808375,666.8431297656267,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
CZ,COASTAL ZONE,coastal_zone,2023,1.4506938203629887,185.5156215,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
