unit_id,unit_code,unit_name,year,annual_ba_km2,fixed_burnable_km2,annual_rate
coastal_zone,CZ,COASTAL ZONE,2001,50.86840576562497,12788.061746453212,0.3977804203184537
coastal_zone,CZ,COASTAL ZONE,2002,362.49068203124966,12788.061746453212,2.834602218993719
coastal_zone,CZ,COASTAL ZONE,2003,613.1959000625005,12788.061746453212,4.795065211759486
coastal_zone,CZ,COASTAL ZONE,2004,1422.1548247968753,12788.061746453212,11.120956818896438
coastal_zone,CZ,COASTAL ZONE,2005,1127.0065324843713,12788.061746453212,8.8129581701226
coastal_zone,CZ,COASTAL ZONE,2006,856.2097513906285,12788.061746453212,6.6953833064506405
coastal_zone,CZ,COASTAL ZONE,2007,433.23164415625035,12788.061746453212,3.387781923061232
coastal_zone,CZ,COASTAL ZONE,2008,817.3097179375029,12788.061746453212,6.391193084160584
coastal_zone,CZ,COASTAL ZONE,2009,599.9419907499996,12788.061746453212,4.691422380067835
coastal_zone,CZ,COASTAL ZONE,2010,325.2994682343742,12788.061746453212,2.5437746132606573
coastal_zone,CZ,COASTAL ZONE,2011,628.1559375937499,12788.061746453212,4.912049613523096
coastal_zone,CZ,COASTAL ZONE,2012,560.4032562187531,12788.061746453212,4.382237647344655
coastal_zone,CZ,COASTAL ZONE,2013,474.9112036718751,12788.061746453212,3.7137074647265638
coastal_zone,CZ,COASTAL ZONE,2014,267.3779371406251,12788.061746453212,2.090840210517303
coastal_zone,CZ,COASTAL ZONE,2015,853.646784703128,12788.061746453212,6.675341436632398
coastal_zone,CZ,COASTAL ZONE,2016,441.7848486093755,12788.061746453212,3.4546662142283227
coastal_zone,CZ,COASTAL ZONE,2017,141.49072637500004,12788.061746453212,1.1064282389334155
coastal_zone,CZ,COASTAL ZONE,2018,310.33817790624937,12788.061746453212,2.4267804148843912
coastal_zone,CZ,COASTAL ZONE,2019,122.04108237500009,12788.061746453212,0.9543360424330791
coastal_zone,CZ,COASTAL ZONE,2020,1050.0653158593784,12788.061746453212,8.211293757246798
coastal_zone,CZ,COASTAL ZONE,2021,195.77884570312438,12788.061746453212,1.5309501125721727
