unit_id,unit_name,parent_code,parent_name,dominant_overlap_share,long_run_rate,district_departure,circular_mean_month,mean_resultant_length,crosswalk_sha256,source_district_geometry_bundle_sha256,source_acz_geometry_bundle_sha256,crosswalk_analysis_crs,crosswalk_implementation_identity
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,0.999999999999999,0.173611237501107,-10.6662773343111,1.65710495223815,0.969203131577737,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,1,0.170863188925087,-10.6690253828871,1.94915493801097,0.988598147135324,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Abura_Asebu_Kwamankese,ABURA-ASEBU-KWAMANKESE,CZ,COASTAL ZONE,0.999999998898171,0.441275744599407,-3.71387181646354,3.64243750591609,0.843783850372395,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Accra_Metropolis,ACCRA METROPOLIS,CZ,COASTAL ZONE,0.999999996677764,0,-4.15514756106295,,,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Achiase,ACHIASE,FZ,FOREST ZONE,1,0.150874706093618,-10.6890138657186,1.05605139319676,0.983756930296826,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Ada_East,ADA EAST,CZ,COASTAL ZONE,0.999999999378776,0.450980248025588,-3.70416731303736,0.8457793317625,0.91200866423781,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Ada_West,ADA WEST,CZ,COASTAL ZONE,0.999999999291504,0.367177417089484,-3.78797014397346,0.300998342332221,0.796430098992318,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Adaklu,ADAKLU,FZ,FOREST ZONE,0.999999999555842,58.7955974969279,47.9557089251157,0.679579033827251,0.937213813221719,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Adansi_Akrofuom,ADANSI AKROFUOM,FZ,FOREST ZONE,1,0.0145751503321437,-10.82531342148,12,1,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Adansi_Asokwa,ADANSI ASOKWA,FZ,FOREST ZONE,1,0.0808721245807102,-10.7590164472315,2.75254064048017,0.841248628690063,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Adansi_North,ADANSI NORTH,FZ,FOREST ZONE,1,0.246078945795021,-10.5938096260172,1.91975922221711,0.940290832423338,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
Adansi_South,ADANSI SOUTH,FZ,FOREST ZONE,1,0.403402777048103,-10.4364857947641,2.20045660457631,0.969522679600895,fb42b79ca19ab2a620cac7484c4d92c785374d39b78c52c18618be18e35772d0,b4d3050dc9f239df67c7a84fcd5bce52a306d32c450db2e80e2175909e663272,a5ad37a9b8c9cb0763997aa124268b78162f53e32c863d82c6a8ad86969b58ef,EPSG:32630,geo_data_prep.spatial.overlay.assign_districts_to_zones_by_max_share
