unit_id,year,annual_ba_km2,fixed_burnable_union_km2,annual_ba_per100km2_fixed_support,unit_code,unit_name
coastal_zone,2001,50.868405765625,12788.0617464532,0.397780420318454,CZ,COASTAL ZONE
coastal_zone,2002,362.49068203125,12788.0617464532,2.83460221899372,CZ,COASTAL ZONE
coastal_zone,2003,613.195900062501,12788.0617464532,4.79506521175949,CZ,COASTAL ZONE
coastal_zone,2004,1422.15482479688,12788.0617464532,11.1209568188964,CZ,COASTAL ZONE
coastal_zone,2005,1127.00653248437,12788.0617464532,8.8129581701226,CZ,COASTAL ZONE
coastal_zone,2006,856.209751390629,12788.0617464532,6.69538330645064,CZ,COASTAL ZONE
coastal_zone,2007,433.23164415625,12788.0617464532,3.38778192306123,CZ,COASTAL ZONE
coastal_zone,2008,817.309717937503,12788.0617464532,6.39119308416058,CZ,COASTAL ZONE
coastal_zone,2009,599.94199075,12788.0617464532,4.69142238006784,CZ,COASTAL ZONE
coastal_zone,2010,325.299468234374,12788.0617464532,2.54377461326066,CZ,COASTAL ZONE
coastal_zone,2011,628.15593759375,12788.0617464532,4.9120496135231,CZ,COASTAL ZONE
coastal_zone,2012,560.403256218753,12788.0617464532,4.38223764734466,CZ,COASTAL ZONE
coastal_zone,2013,474.911203671875,12788.0617464532,3.71370746472656,CZ,COASTAL ZONE
coastal_zone,2014,267.377937140625,12788.0617464532,2.0908402105173,CZ,COASTAL ZONE
coastal_zone,2015,853.646784703128,12788.0617464532,6.6753414366324,CZ,COASTAL ZONE
coastal_zone,2016,441.784848609376,12788.0617464532,3.45466621422832,CZ,COASTAL ZONE
coastal_zone,2017,141.490726375,12788.0617464532,1.10642823893342,CZ,COASTAL ZONE
coastal_zone,2018,310.338177906249,12788.0617464532,2.42678041488439,CZ,COASTAL ZONE
coastal_zone,2019,122.041082375,12788.0617464532,0.954336042433079,CZ,COASTAL ZONE
coastal_zone,2020,1050.06531585938,12788.0617464532,8.2112937572468,CZ,COASTAL ZONE
coastal_zone,2021,195.778845703124,12788.0617464532,1.53095011257217,CZ,COASTAL ZONE
coastal_zone,2022,666.843129765627,12788.0617464532,5.21457546098084,CZ,COASTAL ZONE
coastal_zone,2023,185.5156215,12788.0617464532,1.45069382036299,CZ,COASTAL ZONE
coastal_zone,2024,246.646273328125,12788.0617464532,1.92872288403309,CZ,COASTAL ZONE
forest_zone,2001,7289.68053259373,59893.7422847953,12.1710219707616,FZ,FOREST ZONE
forest_zone,2002,4980.57982115626,59893.7422847953,8.31569314449173,FZ,FOREST ZONE
forest_zone,2003,6026.43771009371,59893.7422847953,10.061882060129,FZ,FOREST ZONE
forest_zone,2004,7649.14662315629,59893.7422847953,12.7711950052887,FZ,FOREST ZONE
forest_zone,2005,8623.99515053123,59893.7422847953,14.3988250216927,FZ,FOREST ZONE
forest_zone,2006,7313.34584742187,59893.7422847953,12.210534136683,FZ,FOREST ZONE
forest_zone,2007,6048.66846560934,59893.7422847953,10.0989990521011,FZ,FOREST ZONE
forest_zone,2008,7007.27054359377,59893.7422847953,11.6995036147084,FZ,FOREST ZONE
forest_zone,2009,6923.72609534382,59893.7422847953,11.560015840088,FZ,FOREST ZONE
forest_zone,2010,6174.13421010939,59893.7422847953,10.308479608356,FZ,FOREST ZONE
forest_zone,2011,6946.76182474998,59893.7422847953,11.5984768353897,FZ,FOREST ZONE
forest_zone,2012,5752.01344739062,59893.7422847953,9.60369686041614,FZ,FOREST ZONE
forest_zone,2013,6403.27067235933,59893.7422847953,10.6910512318828,FZ,FOREST ZONE
forest_zone,2014,4895.32387437502,59893.7422847953,8.17334781169243,FZ,FOREST ZONE
forest_zone,2015,8782.40102884375,59893.7422847953,14.6633031996621,FZ,FOREST ZONE
forest_zone,2016,7125.67840660943,59893.7422847953,11.8972001661322,FZ,FOREST ZONE
forest_zone,2017,3965.55785803125,59893.7422847953,6.62098861542995,FZ,FOREST ZONE
forest_zone,2018,6915.37143432817,59893.7422847953,11.546066701669,FZ,FOREST ZONE
forest_zone,2019,3084.50720029687,59893.7422847953,5.14996572702038,FZ,FOREST ZONE
forest_zone,2020,8736.88131407815,59893.7422847953,14.5873024138886,FZ,FOREST ZONE
forest_zone,2021,4106.60433520316,59893.7422847953,6.8564831291994,FZ,FOREST ZONE
forest_zone,2022,9085.92828385937,59893.7422847953,15.1700794394441,FZ,FOREST ZONE
forest_zone,2023,3933.48594525003,59893.7422847953,6.56744059595787,FZ,FOREST ZONE
forest_zone,2024,8047.1875788594,59893.7422847953,13.4357735414076,FZ,FOREST ZONE
guinea_savannah,2001,41126.6210617651,86228.7045734392,47.6948149287554,GS,GUINEA SAVANNAH
guinea_savannah,2002,39738.2780968588,86228.7045734392,46.0847443939211,GS,GUINEA SAVANNAH
guinea_savannah,2003,42269.3761532182,86228.7045734392,49.0200755796096,GS,GUINEA SAVANNAH
guinea_savannah,2004,26900.1747919688,86228.7045734392,31.1963109326993,GS,GUINEA SAVANNAH
guinea_savannah,2005,50759.0423551244,86228.7045734392,58.865597722037,GS,GUINEA SAVANNAH
guinea_savannah,2006,41301.9755206711,86228.7045734392,47.8981746565555,GS,GUINEA SAVANNAH
guinea_savannah,2007,36323.6489767808,86228.7045734392,42.1247763798245,GS,GUINEA SAVANNAH
guinea_savannah,2008,35295.1327823899,86228.7045734392,40.9319993347804,GS,GUINEA SAVANNAH
guinea_savannah,2009,28127.9024029528,86228.7045734392,32.6201147774369,GS,GUINEA SAVANNAH
guinea_savannah,2010,30432.5090460935,86228.7045734392,35.2927823706024,GS,GUINEA SAVANNAH
guinea_savannah,2011,45894.2161766244,86228.7045734392,53.2238265710431,GS,GUINEA SAVANNAH
guinea_savannah,2012,32140.2576539057,86228.7045734392,37.273269745729,GS,GUINEA SAVANNAH
guinea_savannah,2013,38376.7068987808,86228.7045734392,44.5057212544532,GS,GUINEA SAVANNAH
guinea_savannah,2014,35199.2387399057,86228.7045734392,40.8207903783678,GS,GUINEA SAVANNAH
guinea_savannah,2015,35426.7594999525,86228.7045734392,41.0846477112274,GS,GUINEA SAVANNAH
guinea_savannah,2016,34809.4541412651,86228.7045734392,40.368754596816,GS,GUINEA SAVANNAH
guinea_savannah,2017,38218.9448207028,86228.7045734392,44.3227635272574,GS,GUINEA SAVANNAH
guinea_savannah,2018,26680.4082159061,86228.7045734392,30.9414461783813,GS,GUINEA SAVANNAH
guinea_savannah,2019,29936.7367317185,86228.7045734392,34.7178319328942,GS,GUINEA SAVANNAH
guinea_savannah,2020,39012.871428625,86228.7045734392,45.2434854746061,GS,GUINEA SAVANNAH
guinea_savannah,2021,26795.3989857967,86228.7045734392,31.074801736092,GS,GUINEA SAVANNAH
guinea_savannah,2022,38543.0364015155,86228.7045734392,44.6986146807867,GS,GUINEA SAVANNAH
guinea_savannah,2023,25406.6713907189,86228.7045734392,29.4642851430994,GS,GUINEA SAVANNAH
guinea_savannah,2024,32218.5377516093,86228.7045734392,37.3640516936787,GS,GUINEA SAVANNAH
sudan_savannah,2001,5601.28331854685,15009.3175044067,37.3187076421185,SS,SUDAN SAVANNAH
sudan_savannah,2002,5826.216851625,15009.3175044067,38.8173336323549,SS,SUDAN SAVANNAH
sudan_savannah,2003,6670.2833118281,15009.3175044067,44.4409501622557,SS,SUDAN SAVANNAH
sudan_savannah,2004,7212.68391824985,15009.3175044067,48.0547094571903,SS,SUDAN SAVANNAH
sudan_savannah,2005,8398.4157424061,15009.3175044067,55.954681083536,SS,SUDAN SAVANNAH
sudan_savannah,2006,6081.47865706243,15009.3175044067,40.5180225901473,SS,SUDAN SAVANNAH
sudan_savannah,2007,5988.26461798436,15009.3175044067,39.8969814332079,SS,SUDAN SAVANNAH
sudan_savannah,2008,5461.25315657812,15009.3175044067,36.3857527497484,SS,SUDAN SAVANNAH
sudan_savannah,2009,5893.34250356238,15009.3175044067,39.2645601762513,SS,SUDAN SAVANNAH
sudan_savannah,2010,7078.21573709366,15009.3175044067,47.1588114184107,SS,SUDAN SAVANNAH
sudan_savannah,2011,6642.48830129683,15009.3175044067,44.2557651228752,SS,SUDAN SAVANNAH
sudan_savannah,2012,5139.69975320313,15009.3175044067,34.2433941562907,SS,SUDAN SAVANNAH
sudan_savannah,2013,6372.89101699999,15009.3175044067,42.4595656340065,SS,SUDAN SAVANNAH
sudan_savannah,2014,7135.29254431249,15009.3175044067,47.5390872517527,SS,SUDAN SAVANNAH
sudan_savannah,2015,4842.08882823439,15009.3175044067,32.2605529985808,SS,SUDAN SAVANNAH
sudan_savannah,2016,7372.18632054684,15009.3175044067,49.1173986983911,SS,SUDAN SAVANNAH
sudan_savannah,2017,7095.30567873428,15009.3175044067,47.2726736352344,SS,SUDAN SAVANNAH
sudan_savannah,2018,4690.50417129688,15009.3175044067,31.2506159585188,SS,SUDAN SAVANNAH
sudan_savannah,2019,4839.95426578127,15009.3175044067,32.2463314162038,SS,SUDAN SAVANNAH
sudan_savannah,2020,5680.39561042186,15009.3175044067,37.8457955117154,SS,SUDAN SAVANNAH
sudan_savannah,2021,5947.42880554682,15009.3175044067,39.6249116843632,SS,SUDAN SAVANNAH
sudan_savannah,2022,4581.68135257811,15009.3175044067,30.525580868237,SS,SUDAN SAVANNAH
sudan_savannah,2023,4588.30005646876,15009.3175044067,30.569678169055,SS,SUDAN SAVANNAH
sudan_savannah,2024,3919.75994892187,15009.3175044067,26.115510900286,SS,SUDAN SAVANNAH
transition_zone,2001,5941.00767454687,23949.056417374,24.8068548965333,TZ,TRANSITION ZONE
transition_zone,2002,4798.55134176565,23949.056417374,20.0364943743024,TZ,TRANSITION ZONE
transition_zone,2003,5572.52951265629,23949.056417374,23.268263331718,TZ,TRANSITION ZONE
transition_zone,2004,3687.01315389063,23949.056417374,15.3952334890984,TZ,TRANSITION ZONE
transition_zone,2005,7977.70787884375,23949.056417374,33.3111573993214,TZ,TRANSITION ZONE
transition_zone,2006,7103.44168996875,23949.056417374,29.6606328290058,TZ,TRANSITION ZONE
transition_zone,2007,5514.81424209376,23949.056417374,23.027271496563,TZ,TRANSITION ZONE
transition_zone,2008,5603.51602418749,23949.056417374,23.3976484356285,TZ,TRANSITION ZONE
transition_zone,2009,3698.79964739062,23949.056417374,15.444448344559,TZ,TRANSITION ZONE
transition_zone,2010,4934.26007498437,23949.056417374,20.6031502410457,TZ,TRANSITION ZONE
transition_zone,2011,5891.70098114064,23949.056417374,24.600973326308,TZ,TRANSITION ZONE
transition_zone,2012,3669.48238439063,23949.056417374,15.3220332377211,TZ,TRANSITION ZONE
transition_zone,2013,5031.54008142187,23949.056417374,21.0093458119364,TZ,TRANSITION ZONE
transition_zone,2014,3933.49204629687,23949.056417374,16.4244134622493,TZ,TRANSITION ZONE
transition_zone,2015,5590.5106074375,23949.056417374,23.3433439297501,TZ,TRANSITION ZONE
transition_zone,2016,3448.67969995312,23949.056417374,14.4000650374319,TZ,TRANSITION ZONE
transition_zone,2017,3289.24769851563,23949.056417374,13.7343519560521,TZ,TRANSITION ZONE
transition_zone,2018,3409.78745167188,23949.056417374,14.2376692937189,TZ,TRANSITION ZONE
transition_zone,2019,2878.39554239063,23949.056417374,12.0188265133589,TZ,TRANSITION ZONE
transition_zone,2020,4234.84745084375,23949.056417374,17.6827319500218,TZ,TRANSITION ZONE
transition_zone,2021,1418.25348253125,23949.056417374,5.92195975413197,TZ,TRANSITION ZONE
transition_zone,2022,3663.7177050625,23949.056417374,15.2979626470988,TZ,TRANSITION ZONE
transition_zone,2023,2274.11529884376,23949.056417374,9.49563631740406,TZ,TRANSITION ZONE
transition_zone,2024,2788.39862385936,23949.056417374,11.643041693436,TZ,TRANSITION ZONE
