panel,record_type,unit_id,unit_name,parent_code,state,proportion,value,term,adjusted_or,or_lower_95,or_upper_95,p,support_status,exclusion_reasons
mismatch_geography,district_viirs_only_share,Ahanta_West_Municipal,AHANTA WEST MUNICIPAL,CZ,,,0.97520661157024791,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ajumako_Enyan_Essiam,AJUMAKO-ENYAN-ESSIAM,CZ,,,0.91578947368421049,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Akatsi_North,AKATSI NORTH,CZ,,,0.62222222222222223,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Akatsi_South,AKATSI SOUTH,CZ,,,0.70642201834862384,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Akwapem_North,AKWAPEM NORTH,FZ,,,0.90000000000000002,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Akwapem_South,AKWAPEM SOUTH,FZ,,,0.95833333333333337,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Akyem_Mansa,AKYEM MANSA,FZ,,,0.97402597402597402,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Amansie_Central,AMANSIE CENTRAL,FZ,,,0.99056603773584906,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Amansie_South,AMANSIE SOUTH,FZ,,,0.93333333333333335,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Amansie_West,AMANSIE WEST,FZ,,,0.97222222222222221,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Anloga,ANLOGA,CZ,,,0.96999999999999997,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Aowin,AOWIN,FZ,,,0.98809523809523814,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asante_Akim_Central_Municipal,ASANTE AKIM CENTRAL MUNICIPAL,FZ,,,0.90123456790123457,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asante_Akim_North,ASANTE AKIM NORTH,FZ,,,0.61702127659574468,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asante_Akim_South,ASANTE AKIM SOUTH,FZ,,,0.8571428571428571,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asene_Akroso_Manso,ASENE AKROSO MANSO,FZ,,,0.98989898989898994,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ashaiman_Municipal,ASHAIMAN MUNICIPAL,CZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asikuma_Odoben_Brakwa,ASIKUMA-ODOBEN-BRAKWA,FZ,,,0.98198198198198194,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asokore_Mampong_Municipal,ASOKORE MAMPONG MUNICIPAL,FZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asokwa_Municipal,ASOKWA MUNICIPAL,FZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Assin_Fosu,ASSIN FOSU,FZ,,,0.98648648648648651,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Assin_North,ASSIN NORTH,FZ,,,0.94047619047619047,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Assin_South,ASSIN SOUTH,FZ,,,0.98958333333333337,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asunafo_North_Municipal,ASUNAFO NORTH MUNICIPAL,TZ,,,0.92156862745098034,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asunafo_South,ASUNAFO SOUTH,FZ,,,0.93548387096774188,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asuogyaman,ASUOGYAMAN,FZ,,,0.70161290322580649,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asutifi_North,ASUTIFI NORTH,TZ,,,0.62105263157894741,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Asutifi_South,ASUTIFI SOUTH,TZ,,,0.77981651376146788,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Atebubu_Amantin,ATEBUBU AMANTIN,TZ,,,0.56589147286821706,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Atiwa_East,ATIWA EAST,FZ,,,0.92105263157894735,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Atiwa_West,ATIWA WEST,FZ,,,0.97674418604651159,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Atwima_Kwanwoma,ATWIMA KWANWOMA,FZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Atwima_Mponua,ATWIMA MPONUA,FZ,,,0.90839694656488545,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Atwima_Nwabiagya_North,ATWIMA NWABIAGYA NORTH,FZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Atwima_Nwabiagya_South,ATWIMA NWABIAGYA SOUTH,FZ,,,0.96590909090909094,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Awutu_Senya,AWUTU SENYA,CZ,,,0.970873786407767,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Awutu_Senya_East,AWUTU SENYA EAST,CZ,,,0.95652173913043481,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ayawaso_Central_Municipal,AYAWASO CENTRAL MUNICIPAL,CZ,,,,,,,,,excluded,primary_denominator_zero_or_nonpositive
mismatch_geography,district_viirs_only_share,Ayawaso_East_Municipal,AYAWASO EAST MUNICIPAL,CZ,,,,,,,,,excluded,primary_denominator_zero_or_nonpositive
mismatch_geography,district_viirs_only_share,Ayawaso_North_Municipal,AYAWASO NORTH MUNICIPAL,CZ,,,,,,,,,excluded,primary_denominator_zero_or_nonpositive
mismatch_geography,district_viirs_only_share,Ayawaso_West,AYAWASO WEST,CZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ayensuano,AYENSUANO,FZ,,,0.97499999999999998,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Banda,BANDA,TZ,,,0.50476190476190474,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bawku_Municipal,BAWKU MUNICIPAL,SS,,,0.47222222222222221,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bawku_West,BAWKU WEST,SS,,,0.38297872340425532,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bekwai_Municipal,BEKWAI MUNICIPAL,FZ,,,0.9821428571428571,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Berekum_East_Municipal,BEREKUM EAST MUNICIPAL,TZ,,,0.7068965517241379,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Berekum_West,BEREKUM WEST,TZ,,,0.79807692307692313,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bia_East,BIA EAST,TZ,,,0.95945945945945943,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bia_West,BIA WEST,FZ,,,0.98484848484848486,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Biakoye,BIAKOYE,FZ,,,0.66423357664233573,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bibiani_Anhwiaso_Bekwai_Municipal,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,FZ,,,0.93859649122807021,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Binduri,BINDURI,SS,,,0.44871794871794873,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Birim_Central_Municipal,BIRIM CENTRAL MUNICIPAL,FZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Birim_North,BIRIM NORTH,FZ,,,0.98780487804878048,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Birim_South,BIRIM SOUTH,FZ,,,0.9882352941176471,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bodi,BODI,FZ,,,0.98550724637681164,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bole,BOLE,GS,,,0.46153846153846156,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bolga_East,BOLGA EAST,SS,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bolgatanga_Municipal,BOLGATANGA MUNICIPAL,SS,,,0.50684931506849318,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bongo,BONGO,SS,,,0.52941176470588236,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bosome_Freho,BOSOME FREHO,FZ,,,0.84615384615384615,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bosomtwe,BOSOMTWE,FZ,,,0.94545454545454544,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Builsa_North,BUILSA NORTH,SS,,,0.47999999999999998,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Builsa_South,BUILSA SOUTH,SS,,,0.39795918367346939,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Bunkpurugu_Nakpanduri,BUNKPURUGU NAKPANDURI,GS,,,0.2839506172839506,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Cape_Coast_Metropolitan,CAPE COAST METROPOLITAN,CZ,,,0.98529411764705888,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Central_Gonja,CENTRAL GONJA,GS,,,0.34579439252336447,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Central_Tongu,CENTRAL TONGU,CZ,,,0.67592592592592593,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Chereponi,CHEREPONI,GS,,,0.14285714285714285,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Daffiama_Bussie_Issa,DAFFIAMA BUSSIE ISSA,GS,,,0.39285714285714285,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Denkyembour,DENKYEMBOUR,FZ,,,0.9882352941176471,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Dormaa_East,DORMAA EAST,TZ,,,0.9375,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Dormaa_Municipal,DORMAA MUNICIPAL,TZ,,,0.7967479674796748,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Dormaa_West,DORMAA WEST,TZ,,,0.97297297297297303,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,East_Gonja_Municipal,EAST GONJA MUNICIPAL,GS,,,0.43877551020408162,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,East_Mamprusi,EAST MAMPRUSI,GS,,,0.30526315789473685,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Effia_Kwesimintsim_Municipal,EFFIA KWESIMINTSIM MUNICIPAL,CZ,,,0.9838709677419355,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Effutu_Municipal,EFFUTU MUNICIPAL,CZ,,,0.92105263157894735,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ejisu_Municipal,EJISU MUNICIPAL,FZ,,,0.93577981651376152,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ejura_Sekyedumase,EJURA-SEKYEDUMASE,TZ,,,0.51327433628318586,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ekumfi,EKUMFI,CZ,,,0.94488188976377951,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ellembelle,ELLEMBELLE,CZ,,,0.96460176991150437,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Fanteakwa_North,FANTEAKWA NORTH,FZ,,,0.5714285714285714,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Fanteakwa_South,FANTEAKWA SOUTH,FZ,,,0.59210526315789469,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ga_Central_Municipal,GA CENTRAL MUNICIPAL,CZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ga_East,GA EAST,CZ,,,0.97777777777777775,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ga_North_Municipal,GA NORTH MUNICIPAL,CZ,,,0.94047619047619047,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ga_South_Municipal,GA SOUTH MUNICIPAL,CZ,,,0.97435897435897434,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ga_West_Municipal,GA WEST MUNICIPAL,CZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Garu,GARU,SS,,,0.36781609195402298,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Gomoa_Central,GOMOA CENTRAL,CZ,,,0.79245283018867929,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Gomoa_East,GOMOA EAST,CZ,,,0.88,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Gomoa_West,GOMOA WEST,CZ,,,0.89719626168224298,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Gushegu,GUSHEGU,GS,,,0.23711340206185566,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ho_Municipal,HO MUNICIPAL,FZ,,,0.68548387096774188,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ho_West,HO WEST,FZ,,,0.66423357664233573,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Hohoe_Municipal,HOHOE MUNICIPAL,FZ,,,0.58163265306122447,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Jaman_North,JAMAN NORTH,TZ,,,0.8125,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Jaman_South_Municipal,JAMAN SOUTH MUNICIPAL,TZ,,,0.93396226415094341,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Jasikan,JASIKAN,FZ,,,0.62105263157894741,,,,,,valid_nonzero,
