panel,unit_id,unit_name,parent_code,support_status,value,exclusion_reasons
direct_acz_long_run_rate,coastal_zone,COASTAL ZONE,CZ,valid_nonzero,4.1551475610629476,
direct_acz_long_run_rate,forest_zone,FOREST ZONE,FZ,valid_nonzero,10.839888571812187,
direct_acz_long_run_rate,guinea_savannah,GUINEA SAVANNAH,GS,valid_nonzero,41.118070070860597,
direct_acz_long_run_rate,sudan_savannah,SUDAN SAVANNAH,SS,valid_nonzero,39.714057181280481,
direct_acz_long_run_rate,transition_zone,TRANSITION ZONE,TZ,valid_nonzero,18.503479573683112,
district_long_run_rate,Ablekuma_Central_Municipal,ABLEKUMA CENTRAL MUNICIPAL,CZ,excluded,,primary_denominator_zero_or_nonpositive
district_long_run_rate,Ablekuma_North_Municipal,ABLEKUMA NORTH MUNICIPAL,CZ,excluded,,primary_denominator_zero_or_nonpositive
district_long_run_rate,Ablekuma_West_Municipal,ABLEKUMA WEST MUNICIPAL,CZ,excluded,,primary_denominator_zero_or_nonpositive
district_long_run_rate,Abuakwa_North,ABUAKWA NORTH,FZ,valid_nonzero,0.17361123750110663,
district_long_run_rate,Abuakwa_South,ABUAKWA SOUTH,FZ,valid_nonzero,0.1708631889250869,
district_long_run_rate,Abura_Asebu_Kwamankese,ABURA-ASEBU-KWAMANKESE,CZ,valid_nonzero,0.44127574459940749,
district_long_run_rate,Accra_Metropolis,ACCRA METROPOLIS,CZ,valid_zero,0,
district_long_run_rate,Achiase,ACHIASE,FZ,valid_nonzero,0.15087470609361803,
district_long_run_rate,Ada_East,ADA EAST,CZ,valid_nonzero,0.45098024802558773,
district_long_run_rate,Ada_West,ADA WEST,CZ,valid_nonzero,0.36717741708948365,
district_long_run_rate,Adaklu,ADAKLU,FZ,valid_nonzero,58.795597496927861,
district_long_run_rate,Adansi_Akrofuom,ADANSI AKROFUOM,FZ,valid_nonzero,0.014575150332143695,
district_long_run_rate,Adansi_Asokwa,ADANSI ASOKWA,FZ,valid_nonzero,0.080872124580710247,
district_long_run_rate,Adansi_North,ADANSI NORTH,FZ,valid_nonzero,0.24607894579502068,
district_long_run_rate,Adansi_South,ADANSI SOUTH,FZ,valid_nonzero,0.4034027770481034,
district_long_run_rate,Adenta_Municipal,ADENTA MUNICIPAL,CZ,valid_nonzero,0.043402842263387587,
district_long_run_rate,Afadzato_South,AFADZATO SOUTH,FZ,valid_nonzero,18.443805491053233,
district_long_run_rate,Afigya_Kwabre_North,AFIGYA KWABRE NORTH,FZ,valid_nonzero,0.39115853765245395,
district_long_run_rate,Afigya_Kwabre_South,AFIGYA KWABRE SOUTH,FZ,valid_nonzero,0.041356453083502456,
district_long_run_rate,Agona_East,AGONA EAST,FZ,valid_nonzero,0.1996390662717091,
district_long_run_rate,Agona_West_Municipal,AGONA WEST MUNICIPAL,FZ,valid_nonzero,0.024295316315941257,
district_long_run_rate,Agotime_Ziope,AGOTIME ZIOPE,FZ,valid_nonzero,52.374881541979128,
district_long_run_rate,Ahafo_Ano_North,AHAFO ANO NORTH,FZ,valid_nonzero,0.42140650330032675,
district_long_run_rate,Ahafo_Ano_South_East,AHAFO ANO SOUTH EAST,FZ,valid_nonzero,0.36139590953571249,
district_long_run_rate,Ahafo_Ano_South_West,AHAFO ANO SOUTH WEST,FZ,valid_nonzero,1.4012334172409702,
district_long_run_rate,Ahanta_West_Municipal,AHANTA WEST MUNICIPAL,CZ,valid_nonzero,0.04724114514591455,
district_long_run_rate,Ajumako_Enyan_Essiam,AJUMAKO-ENYAN-ESSIAM,CZ,valid_nonzero,0.3600055401753397,
district_long_run_rate,Akatsi_North,AKATSI NORTH,CZ,valid_nonzero,46.785643262136233,
district_long_run_rate,Akatsi_South,AKATSI SOUTH,CZ,valid_nonzero,11.490762955549116,
district_long_run_rate,Akwapem_North,AKWAPEM NORTH,FZ,valid_nonzero,1.1591231106063355,
district_long_run_rate,Akwapem_South,AKWAPEM SOUTH,FZ,valid_nonzero,1.1811754698325914,
district_long_run_rate,Akyem_Mansa,AKYEM MANSA,FZ,valid_nonzero,0.41286671524735175,
district_long_run_rate,Amansie_Central,AMANSIE CENTRAL,FZ,valid_nonzero,0.0024481111199603158,
district_long_run_rate,Amansie_South,AMANSIE SOUTH,FZ,valid_nonzero,0.29800213053265473,
district_long_run_rate,Amansie_West,AMANSIE WEST,FZ,valid_nonzero,0.084426177154069304,
district_long_run_rate,Anloga,ANLOGA,CZ,valid_nonzero,0.60569819142335846,
district_long_run_rate,Aowin,AOWIN,FZ,valid_nonzero,0.0059683025990745044,
district_long_run_rate,Asante_Akim_Central_Municipal,ASANTE AKIM CENTRAL MUNICIPAL,FZ,valid_nonzero,0.52623891613536633,
district_long_run_rate,Asante_Akim_North,ASANTE AKIM NORTH,FZ,valid_nonzero,23.36342316503827,
district_long_run_rate,Asante_Akim_South,ASANTE AKIM SOUTH,FZ,valid_nonzero,0.9286623257149863,
district_long_run_rate,Asene_Akroso_Manso,ASENE AKROSO MANSO,FZ,valid_nonzero,0.0024950090507737653,
district_long_run_rate,Ashaiman_Municipal,ASHAIMAN MUNICIPAL,CZ,valid_zero,0,
district_long_run_rate,Asikuma_Odoben_Brakwa,ASIKUMA-ODOBEN-BRAKWA,FZ,valid_nonzero,0.033787438718919795,
district_long_run_rate,Asokore_Mampong_Municipal,ASOKORE MAMPONG MUNICIPAL,FZ,valid_zero,0,
district_long_run_rate,Asokwa_Municipal,ASOKWA MUNICIPAL,FZ,valid_zero,0,
district_long_run_rate,Assin_Fosu,ASSIN FOSU,FZ,valid_nonzero,0.0037605270531710744,
district_long_run_rate,Assin_North,ASSIN NORTH,FZ,valid_nonzero,0.087192765518896209,
district_long_run_rate,Assin_South,ASSIN SOUTH,FZ,valid_nonzero,0.012285448451369108,
district_long_run_rate,Asunafo_North_Municipal,ASUNAFO NORTH MUNICIPAL,TZ,valid_nonzero,0.39594374874077715,
district_long_run_rate,Asunafo_South,ASUNAFO SOUTH,FZ,valid_nonzero,0.60088678800455908,
district_long_run_rate,Asuogyaman,ASUOGYAMAN,FZ,valid_nonzero,11.5117275661053,
district_long_run_rate,Asutifi_North,ASUTIFI NORTH,TZ,valid_nonzero,1.2753026440785817,
district_long_run_rate,Asutifi_South,ASUTIFI SOUTH,TZ,valid_nonzero,0.81105845271150889,
district_long_run_rate,Atebubu_Amantin,ATEBUBU AMANTIN,TZ,valid_nonzero,41.557271509575308,
district_long_run_rate,Atiwa_East,ATIWA EAST,FZ,valid_nonzero,0.47784681241334109,
district_long_run_rate,Atiwa_West,ATIWA WEST,FZ,valid_nonzero,0.024982089563673829,
district_long_run_rate,Atwima_Kwanwoma,ATWIMA KWANWOMA,FZ,valid_nonzero,0.29827510561090437,
district_long_run_rate,Atwima_Mponua,ATWIMA MPONUA,FZ,valid_nonzero,0.62464329080909742,
district_long_run_rate,Atwima_Nwabiagya_North,ATWIMA NWABIAGYA NORTH,FZ,valid_nonzero,0.20532846916266392,
district_long_run_rate,Atwima_Nwabiagya_South,ATWIMA NWABIAGYA SOUTH,FZ,valid_nonzero,0.37540352889685941,
district_long_run_rate,Awutu_Senya,AWUTU SENYA,CZ,valid_nonzero,0.21135206407138027,
district_long_run_rate,Awutu_Senya_East,AWUTU SENYA EAST,CZ,valid_nonzero,2.1126740922240752,
