unit_id,unit_name,parent_code,parent_name,dominant_overlap_share,long_run_rate,district_departure,circular_mean_month,mean_resultant_length
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,0.999999999999999,0.17361123750110663,-10.666277334311081,1.657104952238146,0.96920313157773674
Abuakwa_South,ABUAKWA SOUTH,FZ,FOREST ZONE,1,0.1708631889250869,-10.669025382887099,1.9491549380109672,0.98859814713532435
Abura_Asebu_Kwamankese,ABURA-ASEBU-KWAMANKESE,CZ,COASTAL ZONE,0.99999999889817104,0.44127574459940749,-3.71387181646354,3.6424375059160949,0.84378385037239512
Accra_Metropolis,ACCRA METROPOLIS,CZ,COASTAL ZONE,0.99999999667776396,0,-4.1551475610629476,,
Achiase,ACHIASE,FZ,FOREST ZONE,1,0.15087470609361803,-10.68901386571857,1.0560513931967614,0.98375693029682632
Ada_East,ADA EAST,CZ,COASTAL ZONE,0.99999999937877604,0.45098024802558773,-3.70416731303736,0.84577933176250042,0.9120086642378098
Ada_West,ADA WEST,CZ,COASTAL ZONE,0.99999999929150396,0.36717741708948365,-3.7879701439734639,0.30099834233222111,0.79643009899231765
Adaklu,ADAKLU,FZ,FOREST ZONE,0.99999999955584196,58.795597496927861,47.955708925115673,0.67957903382725071,0.93721381322171904
Adansi_Akrofuom,ADANSI AKROFUOM,FZ,FOREST ZONE,1,0.014575150332143695,-10.825313421480043,11.999999999999998,1
Adansi_Asokwa,ADANSI ASOKWA,FZ,FOREST ZONE,1,0.080872124580710247,-10.759016447231478,2.7525406404801718,0.84124862869006345
Adansi_North,ADANSI NORTH,FZ,FOREST ZONE,1,0.24607894579502068,-10.593809626017167,1.9197592222171136,0.94029083242333777
Adansi_South,ADANSI SOUTH,FZ,FOREST ZONE,1,0.4034027770481034,-10.436485794764083,2.2004566045763112,0.96952267960089478
Adenta_Municipal,ADENTA MUNICIPAL,CZ,COASTAL ZONE,1,0.043402842263387587,-4.1117447187995602,11.999999999999998,1
Afadzato_South,AFADZATO SOUTH,FZ,FOREST ZONE,0.99999999985947297,18.443805491053233,7.6039169192410458,1.4727540277769673,0.94316516439163023
Afigya_Kwabre_North,AFIGYA KWABRE NORTH,FZ,FOREST ZONE,0.99999999982423404,0.39115853765245395,-10.448730034159734,2.227019723211777,0.95692908265626231
Afigya_Kwabre_South,AFIGYA KWABRE SOUTH,FZ,FOREST ZONE,1,0.041356453083502456,-10.798532118728685,2.3055989958388725,0.78454114221305249
Agona_East,AGONA EAST,FZ,FOREST ZONE,0.99999999877364198,0.1996390662717091,-10.640249505540478,0.57010337837728997,0.93233908638260177
Agona_West_Municipal,AGONA WEST MUNICIPAL,FZ,FOREST ZONE,0.99999999924415595,0.024295316315941257,-10.815593255496246,2.8787637848110519,0.9852375572533042
Agotime_Ziope,AGOTIME ZIOPE,FZ,FOREST ZONE,0.99999999781701199,52.374881541979128,41.53499297016694,0.93444625720341001,0.95096997607614941
Ahafo_Ano_North,AHAFO ANO NORTH,FZ,FOREST ZONE,0.99999999866892098,0.42140650330032675,-10.41848206851186,1.992286520584631,0.95766261729703506
Ahafo_Ano_South_East,AHAFO ANO SOUTH EAST,FZ,FOREST ZONE,0.99999999990745003,0.36139590953571249,-10.478492662276475,1.6113576974533772,0.84646170713049984
Ahafo_Ano_South_West,AHAFO ANO SOUTH WEST,FZ,FOREST ZONE,0.99999999950287299,1.4012334172409702,-9.438655154571217,1.7106555433503792,0.96811004572510873
Ahanta_West_Municipal,AHANTA WEST MUNICIPAL,CZ,COASTAL ZONE,0.99999999890362901,0.04724114514591455,-4.1079064159170331,2.455009676120067,0.8474759983003235
